neutral_id,status,reason,molecular_weight_g_mol,cation_id,anion_id
libe-117102,rejected,not_closed_shell,69.083,,
libe-117103,rejected,not_closed_shell,69.083,,
libe-117105,rejected,not_closed_shell,69.083,,
libe-117108,rejected,not_closed_shell,69.083,,
libe-117124,rejected,not_closed_shell,69.083,,
libe-132387,rejected,not_closed_shell,69.083,,
libe-132394,rejected,not_closed_shell,69.083,,
libe-132412,rejected,not_closed_shell,69.083,,
libe-132422,rejected,not_closed_shell,69.083,,
libe-515676,rejected,not_closed_shell,69.083,,
libe-522739,rejected,not_closed_shell,69.083,,
libe-523090,rejected,disallowed_element,,,
libe-523604,rejected,disallowed_element,,,
libe-525354,rejected,disallowed_element,,,
libe-632011,rejected,not_closed_shell,,,
libe-632065,rejected,not_closed_shell,,,
libe-632112,rejected,not_closed_shell,,,
libe-632156,rejected,not_closed_shell,,,
libe-632227,rejected,not_closed_shell,,,
libe-632273,rejected,not_closed_shell,,,
libe-632276,rejected,not_closed_shell,,,
libe-632288,rejected,not_closed_shell,,,
libe-632291,rejected,not_closed_shell,,,
libe-632398,rejected,not_closed_shell,,,
libe-632495,rejected,not_closed_shell,,,
libe-632547,rejected,not_closed_shell,,,
libe-528726,rejected,disallowed_element,,,
libe-639674,rejected,not_closed_shell,,,
libe-501721,rejected,disallowed_element,,,
libe-508938,rejected,disallowed_element,,,
libe-121504,rejected,missing_cation_match,148.07000000000002,,
libe-121505,accepted,,148.07000000000002,libe-121631,libe-121632
libe-121813,accepted,,148.07000000000002,libe-121644,libe-121634
libe-115795,rejected,disallowed_element,,,
libe-121686,rejected,disallowed_element,,,
libe-631223,rejected,disallowed_element,,,
libe-631265,rejected,disallowed_element,,,
libe-631272,rejected,disallowed_element,,,
libe-631276,rejected,disallowed_element,,,
libe-631279,rejected,disallowed_element,,,
libe-631289,rejected,disallowed_element,,,
libe-631298,rejected,disallowed_element,,,
libe-631309,rejected,disallowed_element,,,
libe-631312,rejected,disallowed_element,,,
libe-631362,rejected,disallowed_element,,,
libe-631393,rejected,disallowed_element,,,
libe-631686,rejected,disallowed_element,,,
libe-631720,rejected,disallowed_element,,,
libe-631751,rejected,disallowed_element,,,
libe-631784,rejected,disallowed_element,,,
libe-631914,rejected,disallowed_element,,,
libe-631917,rejected,disallowed_element,,,
libe-631918,rejected,disallowed_element,,,
libe-631958,rejected,disallowed_element,,,
libe-631983,rejected,disallowed_element,,,
libe-631994,rejected,disallowed_element,,,
libe-632002,rejected,disallowed_element,,,
libe-632026,rejected,disallowed_element,,,
libe-632035,rejected,disallowed_element,,,
libe-632087,rejected,disallowed_element,,,
libe-632113,rejected,disallowed_element,,,
libe-632135,rejected,disallowed_element,,,
libe-632147,rejected,disallowed_element,,,
libe-632175,rejected,disallowed_element,,,
libe-188386,rejected,not_closed_shell,,,
libe-188420,rejected,not_closed_shell,,,
libe-188454,rejected,not_closed_shell,,,
libe-188717,rejected,not_closed_shell,,,
libe-189873,rejected,not_closed_shell,,,
libe-135867,rejected,disallowed_element,,,
libe-137406,rejected,disallowed_element,,,
libe-137533,rejected,disallowed_element,,,
libe-193047,rejected,disallowed_element,,,
libe-194760,rejected,disallowed_element,,,
libe-226868,rejected,not_closed_shell,,,
libe-226886,rejected,not_closed_shell,,,
libe-226894,rejected,not_closed_shell,,,
libe-640819,rejected,not_closed_shell,,,
libe-640893,rejected,not_closed_shell,,,
libe-137660,rejected,not_closed_shell,,,
libe-137678,rejected,not_closed_shell,,,
libe-115765,rejected,mass_out_of_range,44.009,,
libe-117165,rejected,not_closed_shell,71.09899999999999,,
libe-117170,rejected,not_closed_shell,71.09899999999999,,
libe-117171,rejected,not_closed_shell,71.09899999999999,,
libe-117174,rejected,not_closed_shell,71.09899999999999,,
libe-117178,rejected,not_closed_shell,71.09899999999999,,
libe-117187,rejected,not_closed_shell,71.09899999999999,,
libe-117192,rejected,not_closed_shell,71.09899999999999,,
libe-117199,rejected,not_closed_shell,71.09899999999999,,
libe-117201,rejected,not_closed_shell,71.09899999999999,,
libe-117205,rejected,not_closed_shell,71.09899999999999,,
libe-132437,rejected,not_closed_shell,71.09899999999999,,
libe-519977,rejected,not_closed_shell,71.09899999999999,,
libe-501680,rejected,disallowed_element,,,
libe-137011,rejected,disallowed_element,,,
libe-137015,rejected,disallowed_element,,,
libe-179610,rejected,disallowed_element,,,
